title,author,publisher,call_number,isbn,edition,year,pages,copies,remarks,image_url,,,,,,,,,
Casebook: The Accounting Function in Business,"Guerero, Ma. Teressa C.",University of the East,657.48,,,1972,212,,,,,,,,,,,,
The Labor Code of the Philippines & Its Implemented Rules & Regulation,,,,,,,528,,,,,,,,,,,,
The Collected Works of Federico M. Sioson,Magdangal Consolacion,NRCP,,,,,433,,,,,,,,,,,,
The Calculus 7,"Leithold, Louis",Harper Collins,515.15,,,1996,1193,,,,,,,,,,,,
Textbook for the Philippine Constitution,de Leon Hector,Rex Printing Co. Inc,342.02,,,1997,495,,,,,,,,,,,,
Research Methods,Sevilla,,,,,,,,,,,,,,,,,,
Introduction to Logic,"BachRuber, Andrew H.",,160,,,1966,332,,,,,,,,,,,,
Intro. to Sociology & Antropology,"Palispis, Epitacio S.",Rex Printing Co. Inc,301,,,1997,313,,,,,,,,,,,,
Management,"Stoner, James A. F.",,658,,,,,,,,,,,,,,,,
Ethics and the Filipino,"Agapay, Ramon B.",National Book Store Inc,170,,,1991,,,,,,,,,,,,,
Dynamics of Development,"Muhi, Estrellita T.",National Book Store Inc,338.9,,,1993,277,,,,,,,,,,,,
Fundamentals of Political Science,"Ayson, Florentino G.",National Book Store Inc,320,,,,426,,,,,,,,,,,,
A Research Primer,"Sevilla, Consuello G.",Rex Printing Co. Inc,001.42,,,1990,96,,,,,,,,,,,,
Manage Your Time,"Douglas, Merril E.",National Book Store Inc,650.1,,,1980,278,,,,,,,,,,,,
Leadership & One Minute Manager,,,,,,,,,,,,,,,,,,,
Analytic Geometry,"Fuller, Gordon",Apson Enterprises,516.3,,,1973,,,,,,,,,,,,,
Contemporary Social Issues and Problems,"Sanchez, Custodiosa A.",National Book Store Inc,361.1,,,1994,253,,,,,,,,,,,,
Ethics: The Philosophy of Life,"Montemayor, Felix",National Book Store Inc,170,,,1994,240,,,,,,,,,,,,
Social Problems in the Philippine Context,"Garcia, Manuel B.",National Book Store Inc,361.1,,,1994,460,,,,,,,,,,,,
Introductory Sociology,"Garcia, Manuel B.",National Book Store Inc,301,,,1993,303,,,,,,,,,,,,
Dent. It's Sociology Dimension,"Garcia, Manuel B.",National Book Store Inc,301,,,1993,218,,,,,,,,,,,,
